ID,Link,Name
29,https://www.rum-x.com/rums/29/destilerias-unidas-s-a-diplomatico-botucal-mantuano,destilerias-unidas-s-a-diplomatico-botucal-mantuano
30,https://www.rum-x.com/rums/30/destileria-colombiana-dictador-20-years,destileria-colombiana-dictador-20-years
31,https://www.rum-x.com/rums/31/maison-ferrand-south-pacific-plantation-fiji,maison-ferrand-south-pacific-plantation-fiji
32,https://www.rum-x.com/rums/32/litchquor-ltd-gold-of-mauritius-dark-rum-5-solera,litchquor-ltd-gold-of-mauritius-dark-rum-5-solera
33,https://www.rum-x.com/rums/33/bleeding-heart-rum-company-don-papa-masskara,bleeding-heart-rum-company-don-papa-masskara
34,https://www.rum-x.com/rums/34/rhum-jm-xo,rhum-jm-xo
35,https://www.rum-x.com/rums/35/appleton-estate-21-years,appleton-estate-21-years
36,https://www.rum-x.com/rums/36/licorero-del-centro-pampero-aniversario,licorero-del-centro-pampero-aniversario
37,https://www.rum-x.com/rums/37/santa-teresa-1796-antiguo-de-solera,santa-teresa-1796-antiguo-de-solera
38,https://www.rum-x.com/rums/38/velier-caroni-39th-release-the-last-heavy-trinidad-rum,velier-caroni-39th-release-the-last-heavy-trinidad-rum
39,https://www.rum-x.com/rums/39/velier-caroni-100-trinidad-rum-21,velier-caroni-100-trinidad-rum-21
40,https://www.rum-x.com/rums/40/foursquare-exceptional-cask-selection-iii-2004,foursquare-exceptional-cask-selection-iii-2004
41,https://www.rum-x.com/rums/41/havana-club-5-anos-anejo-especial,havana-club-5-anos-anejo-especial
42,https://www.rum-x.com/rums/42/destileria-colombiana-dictador-12-years,destileria-colombiana-dictador-12-years
43,https://www.rum-x.com/rums/43/hampden-smith-cross-traditional-jamaican-rum,hampden-smith-cross-traditional-jamaican-rum
44,https://www.rum-x.com/rums/44/havana-club-seleccion-de-maestros,havana-club-seleccion-de-maestros
45,https://www.rum-x.com/rums/45/habitation-velier-hampden-lfch,habitation-velier-hampden-lfch
46,https://www.rum-x.com/rums/46/distillerie-du-simon-clement-vo,distillerie-du-simon-clement-vo
47,https://www.rum-x.com/rums/47/one-eyed-spirit-ron-de-jeremy-xo,one-eyed-spirit-ron-de-jeremy-xo
48,https://www.rum-x.com/rums/48/industrias-licoreras-de-guatemala-ron-zacapa-edicion-negra,industrias-licoreras-de-guatemala-ron-zacapa-edicion-negra
49,https://www.rum-x.com/rums/49/havana-club-7-anos-anejo,havana-club-7-anos-anejo
50,https://www.rum-x.com/rums/50/foursquare-exceptional-cask-selection-vi-2005,foursquare-exceptional-cask-selection-vi-2005
51,https://www.rum-x.com/rums/51/hampden-pure-single-jamaican-rum-overproof,hampden-pure-single-jamaican-rum-overproof
52,https://www.rum-x.com/rums/52/ah-riise-xo-175-anniversary-rum,ah-riise-xo-175-anniversary-rum
53,https://www.rum-x.com/rums/53/velier-foursquare-destino,velier-foursquare-destino
54,https://www.rum-x.com/rums/54/ah-riise-xo-1888-copenhagen-gold-medal-rum,ah-riise-xo-1888-copenhagen-gold-medal-rum
55,https://www.rum-x.com/rums/55/destilerias-unidas-s-a-diplomatico-botucal-ambassador-selection,destilerias-unidas-s-a-diplomatico-botucal-ambassador-selection
56,https://www.rum-x.com/rums/56/industrias-licoreras-de-guatemala-botran-ron-anejo-reserva-15-years,industrias-licoreras-de-guatemala-botran-ron-anejo-reserva-15-years
57,https://www.rum-x.com/rums/57/tdl-angostura-1919,tdl-angostura-1919
58,https://www.rum-x.com/rums/58/neisson-profil-105,neisson-profil-105
59,https://www.rum-x.com/rums/59/distillerie-du-simon-hse-black-sheriff-one-shot,distillerie-du-simon-hse-black-sheriff-one-shot
60,https://www.rum-x.com/rums/60/velier-caroni-100-trinidad-rum-17-htr,velier-caroni-100-trinidad-rum-17-htr
61,https://www.rum-x.com/rums/61/velier-long-pond-tecc,velier-long-pond-tecc
62,https://www.rum-x.com/rums/62/foursquare-exceptional-cask-selection-x-2007,foursquare-exceptional-cask-selection-x-2007
